title,year,venue,doi,decision
Autonomous Driving for Natural Paths Using an Improved Deep Reinforcement Learning Algorithm,2022,IEEE Transactions on Aerospace and Electronic Systems,10.1109/TAES.2022.3216579,exclude
Autonomous Valet Parking with Asynchronous Advantage Actor-Critic Proximal Policy Optimization,2022,2022 IEEE 12th Annual Computing and Communication Workshop and Conference (CCWC),10.1109/CCWC54503.2022.9720881,exclude
Autonomous Vehicles in Smart Cities: a Deep Reinforcement Learning Solution,2022,"2022 IEEE Intl Conf on Dependable, Autonomic and Secure Computing, Intl Conf on Pervasive Intelligence and Computing, Intl Conf on Cloud and Big Data Computing, Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",10.1109/DASC/PiCom/CBDCom/Cy55231.2022.9927840,include
B-GAP: Behavior-Rich Simulation and Navigation for Autonomous Driving,2022,IEEE Robotics and Automation Letters,10.1109/LRA.2022.3152594,exclude
Book Your Green Wave: Exploiting Navigation Information for Intelligent Traffic Signal Control,2022,IEEE Transactions on Vehicular Technology,10.1109/TVT.2022.3176620,exclude
Charging Navigation for Commercial Electric Vehicles in Considering Traffic and Queuing Dynamics,2022,2022 IEEE PES Innovative Smart Grid Technologies - Asia (ISGT Asia),10.1109/ISGTAsia54193.2022.10003613,exclude
Comprehensive Ocean Information-Enabled AUV Path Planning Via Reinforcement Learning,2022,IEEE Internet of Things Journal,10.1109/JIOT.2022.3155697,exclude
Controllable Swarm Animation Using Deep Reinforcement Learning With a Rule-Based Action Generator,2022,IEEE Access,10.1109/ACCESS.2022.3172492,exclude
Covert Attack and Detection Through Deep Neural Network on Vision-Based Navigation Systems of Multi-Agent Autonomous Vehicles,2022,"2022 IEEE International Conference on Systems, Man, and Cybernetics (SMC)",10.1109/SMC53654.2022.9945210,exclude
DDPG Based End-To-End Driving Enhanced With Safe Anomaly Detection Functionality for Autonomous Vehicles,2022,"2022 IEEE International Conference on Metrology for Extended Reality, Artificial Intelligence and Neural Engineering (MetroXRAINE)",10.1109/MetroXRAINE54828.2022.9967647,exclude
Decision-Making Models for Autonomous Vehicles at Unsignalized Intersections Based on Deep Reinforcement Learning,2022,2022 International Conference on Advanced Robotics and Mechatronics (ICARM),10.1109/ICARM54641.2022.9959664,exclude
Decision-making in Autonomous Driving by Reinforcement Learning Combined with Planning & control,2022,2022 6th CAA International Conference on Vehicular Control and Intelligence (CVCI),10.1109/CVCI56766.2022.9964691,exclude
Deep Reinforcement Learning based Target Detection for Unmanned Aerial Vehicle,2022,2022 IEEE India Council International Subsections Conference (INDISCON),10.1109/INDISCON54605.2022.9862891,exclude
Deep Reinforcement Learning for Autonomous Vehicles Collaboration at Unsignalized Intersections,2022,GLOBECOM 2022 - 2022 IEEE Global Communications Conference,10.1109/GLOBECOM48099.2022.10001133,exclude
Deep Reinforcement Learning for Solving the Heterogeneous Capacitated Vehicle Routing Problem,2022,IEEE Transactions on Cybernetics,10.1109/TCYB.2021.3111082,exclude
Deep Reinforcement Learning for the Capacitated Vehicle Routing Problem with Soft Time Window,2022,2022 14th International Conference on Wireless Communications and Signal Processing (WCSP),10.1109/WCSP55476.2022.10039414,exclude
Deep Reinforcement Learning for the Electric Vehicle Routing Problem With Time Windows,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3105232,exclude
Deep reinforcement learning based green wave speed guidance for human-driven connected vehicles at signalized intersections,2022,2022 14th International Conference on Measuring Technology and Mechatronics Automation (ICMTMA),10.1109/ICMTMA54903.2022.00070,exclude
Digital twin-based scheduling method for marine equipment material transportation vehicles,2022,2022 IEEE 18th International Conference on Automation Science and Engineering (CASE),10.1109/CASE49997.2022.9926428,exclude
Drones-aided Asset Maintenance in Hospitals,2022,2022 2nd International Conference on Computers and Automation (CompAuto),10.1109/CompAuto55930.2022.00008,exclude
Dynamic Optimisation of Heavy Road Traffic,2022,2022 International Conference on Artificial Intelligence and Data Engineering (AIDE),10.1109/AIDE57180.2022.10060096,exclude
Dynamic Repositioning in Dock-less Bike-sharing System: A Multi-agent Reinforcement Learning Approach,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC55140.2022.9922005,exclude
Dynamic Topology Design of NFV-Enabled Services Using Deep Reinforcement Learning,2022,IEEE Transactions on Cognitive Communications and Networking,10.1109/TCCN.2021.3139632,exclude
Edge Encoded Attention Mechanism to Solve Capacitated Vehicle Routing Problem with Reinforcement Learning,2022,2022 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM),10.1109/IEEM55944.2022.9989997,exclude
Edge-based Formulation with Graph Attention Network for Practical Vehicle Routing Problem with Time Windows,2022,2022 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN55064.2022.9892537,exclude
En-Route Electric Vehicles Charging Navigation Considering the Traffic-Flow-Dependent Energy Consumption,2022,IEEE Transactions on Industrial Informatics,10.1109/TII.2021.3131735,exclude
Energy-oriented Routing Strategy of Electric Vehicle: An End-to-End Reinforcement Learning Approach,2022,2022 6th CAA International Conference on Vehicular Control and Intelligence (CVCI),10.1109/CVCI56766.2022.9964505,exclude
Evaluating Deep Reinforcement Learning Methods to Develop an Intelligent Traffic Controller,2022,2022 5th International Conference of Computer and Informatics Engineering (IC2IE),10.1109/IC2IE56416.2022.9970176,exclude
Evaluation of sensors impact on information redundancy in cooperative perception system,2022,GLOBECOM 2022 - 2022 IEEE Global Communications Conference,10.1109/GLOBECOM48099.2022.10001526,exclude
Exact solving scheduling problems accelerated by graph neural networks,2022,"2022 45th Jubilee International Convention on Information, Communication and Electronic Technology (MIPRO)",10.23919/MIPRO55190.2022.9803345,exclude
Explanation-Aware Experience Replay in Rule-Dense Environments,2022,IEEE Robotics and Automation Letters,10.1109/LRA.2021.3135927,borderline
FedTSE: Low-Cost Federated Learning for Privacy-Preserved Traffic State Estimation in IoV,2022,IEEE INFOCOM 2022 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),10.1109/INFOCOMWKSHPS54753.2022.9798018,exclude
Gatekeeper: A deep reinforcement learning-cum-heuristic based algorithm for scheduling and routing trains in complex environments,2022,2022 International Joint Conference on Neural Networks (IJCNN),10.1109/IJCNN55064.2022.9892216,exclude
Gradient Boosting Algorithms Application for Beamsteering in V2X Systems,2022,2022 IEEE 23rd International Conference of Young Professionals in Electron Devices and Materials (EDM),10.1109/EDM55285.2022.9855158,exclude
Graph Convolution Reinforcement Learning for Decision-Making in Highway Overtaking Scenario,2022,2022 IEEE 17th Conference on Industrial Electronics and Applications (ICIEA),10.1109/ICIEA54703.2022.10006015,exclude
Guiding Belief Space Planning with Learned Models for Interactive Merging,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC55140.2022.9922488,exclude
Hecate: AI-driven WAN Traffic Engineering for Science,2022,2022 IEEE/ACM International Workshop on Innovating the Network for Data-Intensive Science (INDIS),10.1109/INDIS56561.2022.00011,exclude
Heterogeneous Attentions for Solving Pickup and Delivery Problem via Deep Reinforcement Learning,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3056120,exclude
Highway Decision-Making and Motion Planning for Autonomous Driving via Soft Actor-Critic,2022,IEEE Transactions on Vehicular Technology,10.1109/TVT.2022.3151651,exclude
Hybrid Method by Integrating Deep Reinforcement Learning and Heuristics Approach for Capacitated Vehicle Routing Problem,2022,2022 Innovations in Intelligent Systems and Applications Conference (ASYU),10.1109/ASYU56188.2022.9925480,exclude
Improved Deep Reinforcement Learning with Expert Demonstrations for Urban Autonomous Driving,2022,2022 IEEE Intelligent Vehicles Symposium (IV),10.1109/IV51971.2022.9827073,exclude
Intelligent Link Load Control in a Segment Routing network via Deep Reinforcement Learning,2022,"2022 25th Conference on Innovation in Clouds, Internet and Networks (ICIN)",10.1109/ICIN53892.2022.9758091,exclude
"Joint Control of Power, Beamwidth, and Spacing for Platoon-Based Vehicular Cyber-Physical Systems",2022,IEEE Transactions on Vehicular Technology,10.1109/TVT.2022.3173923,exclude
K-Pointer-Network for Express Delivery Routes Planning,2022,"2022 3rd International Conference on Computer Vision, Image and Deep Learning & International Conference on Computer Engineering and Applications (CVIDL & ICCEA)",10.1109/CVIDLICCEA56201.2022.9823987,exclude
Learning Improvement Heuristics for Solving Routing Problems,2022,IEEE Transactions on Neural Networks and Learning Systems,10.1109/TNNLS.2021.3068828,exclude
Learning Interaction-Aware Guidance for Trajectory Optimization in Dense Traffic Scenarios,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3160936,exclude
Learning Smooth Motion Planning for Intelligent Aerial Transportation Vehicles by Stable Auxiliary Gradient,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3198766,exclude
Learning-based Autonomous Underwater Vehicle Navigation Following Human Actions in Confined Environment,2022,"OCEANS 2022, Hampton Roads",10.1109/OCEANS47191.2022.9977213,exclude
Multivehicle Motion Planning With Posture Constraints in Real World,2022,IEEE/ASME Transactions on Mechatronics,10.1109/TMECH.2022.3173130,exclude
Navigating a road network using Reinforcement Learning,2022,"2022 International Conference on Interactive Media, Smart Systems and Emerging Technologies (IMET)",10.1109/IMET54801.2022.9929765,borderline
"Optimal Charging Scheme for Electric Vehicles (EVs) in SDN-based Vehicular Network, Scheduling, and Routing",2022,2022 14th International Conference on Communications (COMM),10.1109/COMM54429.2022.9817280,exclude
Optimization Algorithm of Logistics Distribution Path Based on Deep Learning,2022,2022 IEEE 4th International Conference on Civil Aviation Safety and Information Technology (ICCASIT),10.1109/ICCASIT55263.2022.9987167,borderline
Optimization of O2O Food Delivery Strategy in Smart Cities,2022,2022 IEEE International Smart Cities Conference (ISC2),10.1109/ISC255366.2022.9921961,exclude
"PassGoodPool: Joint Passengers and Goods Fleet Management With Reinforcement Learning Aided Pricing, Matching, and Route Planning",2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2021.3128877,exclude
Path Planning in Urban Environment Based on Traffic Condition Perception and Traffic Light Status,2022,2022 IEEE International Symposium on Product Compliance Engineering - Asia (ISPCE-ASIA),10.1109/ISPCE-ASIA57917.2022.9970805,include
Path planning for vehicle platoons under routing decisions: a distributed approach combining Deep Reinforcement Learning and Model Predictive Control,2022,"2022 8th International Conference on Control, Decision and Information Technologies (CoDIT)",10.1109/CoDIT55151.2022.9803896,include
Performance Comparison of PSO-based Informative Path Planners for Water Monitoring under Dynamic Scenarios,2022,"2022 2nd International Conference on Robotics, Automation and Artificial Intelligence (RAAI)",10.1109/RAAI56146.2022.10093003,exclude
Planning for Negotiations in Autonomous Driving using Reinforcement Learning,2022,2022 IEEE/RSJ International Conference on Intelligent Robots and Systems (IROS),10.1109/IROS47612.2022.9981988,exclude
Predicting Parameters for Modeling Traffic Participants,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC55140.2022.9922467,exclude
Reinforcement Learning Based Underwater Wireless Optical Communication Alignment for Autonomous Underwater Vehicles,2022,IEEE Journal of Oceanic Engineering,10.1109/JOE.2022.3165805,exclude
Reinforcement Learning With Multiple Relational Attention for Solving Vehicle Routing Problems,2022,IEEE Transactions on Cybernetics,10.1109/TCYB.2021.3089179,exclude
Renewable Energy Integration Driven Charging Scheme for Electric Vehicle Based Large Scale Delivery System,2022,2022 IEEE/IAS Industrial and Commercial Power System Asia (I&CPS Asia),10.1109/ICPSAsia55496.2022.9949661,exclude
Research on Key Technology of Unmanned Surface Vehicle Motion Simulation Based on Unity3D,2022,"OCEANS 2022, Hampton Roads",10.1109/OCEANS47191.2022.9977285,exclude
Resilience Analysis of Deep Q-Learning Algorithms in Driving Simulations Against Cyberattacks,2022,2022 1st International Conference on AI in Cybersecurity (ICAIC),10.1109/ICAIC53980.2022.9896968,exclude
Resilient Branching MPC for Multi-Vehicle Traffic Scenarios Using Adversarial Disturbance Sequences,2022,IEEE Transactions on Intelligent Vehicles,10.1109/TIV.2022.3168772,exclude
Safe Navigation and Evasive Maneuvers Based on Probabilistic Multi-Controller Architecture,2022,IEEE Transactions on Intelligent Transportation Systems,10.1109/TITS.2022.3141893,exclude
Safe Reinforcement Learning for Urban Driving using Invariably Safe Braking Sets,2022,2022 IEEE 25th International Conference on Intelligent Transportation Systems (ITSC),10.1109/ITSC55140.2022.9922166,exclude
